epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,347.53,1.02141,2.37474,1.25476,0.38182,0.28736,0.24977,0.1436,1.40213,2.497,1.59068,0.00999153,0.00333051,0.00999153,0.00333051,0.00999153,0.00333051,0.00999153,0.00333051
2,642.601,0.98519,1.68313,1.22095,0.27533,0.17947,0.11031,0.05531,1.64692,3.04905,1.95097,0.0194261,0.00647535,0.0194261,0.00647535,0.0194261,0.00647535,0.0194261,0.00647535
3,936.079,1.03679,1.63501,1.2518,0.34867,0.26399,0.21975,0.11996,1.58992,2.3433,1.75536,0.0282949,0.00943162,0.0282949,0.00943162,0.0282949,0.00943162,0.0282949,0.00943162
4,1208.58,1.03649,1.5642,1.25906,0.43395,0.29479,0.27776,0.15758,1.58653,2.40145,1.72201,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
5,1515.66,0.99129,1.42534,1.23088,0.4479,0.34511,0.33178,0.19747,1.47085,2.0809,1.61195,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
6,1805.94,0.94816,1.31713,1.20768,0.42575,0.34517,0.32746,0.20187,1.4274,2.07335,1.57377,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
7,2115.23,0.92618,1.24618,1.19105,0.49306,0.39317,0.38462,0.23242,1.39336,1.92691,1.54648,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
8,2390.58,0.90582,1.18471,1.17942,0.52589,0.36871,0.39212,0.24023,1.38587,1.99863,1.53271,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
9,2666.82,0.88086,1.14021,1.16492,0.51613,0.3944,0.403,0.2528,1.32408,1.88312,1.47632,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
10,2943.24,0.86695,1.09656,1.1532,0.55076,0.39646,0.42089,0.2684,1.32153,1.85004,1.48363,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
11,3219.85,0.85693,1.0563,1.14802,0.54746,0.41653,0.42682,0.27226,1.32349,1.8611,1.48586,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
12,3495.13,0.84974,1.03016,1.13942,0.56433,0.38719,0.4245,0.26927,1.31651,1.83524,1.4854,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857
13,3770.1,0.83295,1.00205,1.13381,0.56038,0.43045,0.44354,0.283,1.29797,1.759,1.47333,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571
14,4045.11,0.81972,0.97396,1.12605,0.56925,0.44393,0.46949,0.30582,1.27798,1.71662,1.44403,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286
15,4325.67,0.81059,0.95289,1.11931,0.6018,0.43588,0.45464,0.29179,1.27584,1.7393,1.44255,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
16,4614.34,0.80116,0.92946,1.11492,0.58831,0.44349,0.46151,0.30055,1.28885,1.76774,1.45408,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
17,4896.09,0.79733,0.91646,1.112,0.61834,0.41958,0.47121,0.30567,1.27492,1.77629,1.44398,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429
18,5164.44,0.79298,0.89911,1.1067,0.5945,0.43955,0.48031,0.31474,1.25598,1.72729,1.42049,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143
19,5439.14,0.78474,0.87757,1.10189,0.58547,0.45101,0.48037,0.31295,1.26446,1.70456,1.43117,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857
20,5712.58,0.78496,0.8639,1.1011,0.61811,0.44321,0.48416,0.31971,1.2516,1.69926,1.41826,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571
21,5991.26,0.7782,0.8424,1.09444,0.63479,0.45097,0.49309,0.32502,1.24181,1.65829,1.40381,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286
22,6288.9,0.76679,0.83278,1.09065,0.60486,0.458,0.48655,0.32356,1.23594,1.7189,1.40312,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
23,6576.79,0.75811,0.81116,1.08465,0.61702,0.44834,0.47984,0.31867,1.23874,1.71141,1.40027,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714
24,6880.88,0.75295,0.7965,1.08181,0.64524,0.46176,0.49932,0.3304,1.2355,1.67864,1.39982,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429
