epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,470.331,1.05779,2.41812,1.27281,0.3927,0.26239,0.23335,0.13025,1.48497,2.48963,1.60907,0.00999153,0.00333051,0.00999153,0.00333051,0.00999153,0.00333051,0.00999153,0.00333051
2,878.384,1.04199,1.76125,1.24285,0.26233,0.22386,0.14776,0.06956,1.71035,2.85051,1.90175,0.0194261,0.00647535,0.0194261,0.00647535,0.0194261,0.00647535,0.0194261,0.00647535
3,1258.63,1.07754,1.70641,1.27044,0.31391,0.25093,0.16935,0.08838,1.609,2.5592,1.72517,0.0282949,0.00943162,0.0282949,0.00943162,0.0282949,0.00943162,0.0282949,0.00943162
4,1638.17,1.0948,1.65621,1.28072,0.3868,0.31562,0.25956,0.14239,1.58363,2.27981,1.73076,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
5,2013.75,1.0421,1.52093,1.24974,0.4052,0.31408,0.27069,0.15373,1.52318,2.18876,1.64061,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
6,2387.53,1.00442,1.42093,1.22774,0.45015,0.33887,0.32188,0.18942,1.44443,2.06747,1.59188,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
7,2757.53,0.97993,1.33826,1.21117,0.47475,0.36416,0.35403,0.20927,1.43102,1.9646,1.54968,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
8,3140.84,0.95232,1.28468,1.19671,0.52186,0.38477,0.37416,0.22075,1.44983,1.94637,1.57613,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
9,3522.28,0.93752,1.23526,1.1876,0.50066,0.39228,0.39437,0.23805,1.41535,1.90379,1.53898,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
10,3903.88,0.91894,1.18989,1.17551,0.53503,0.39235,0.4035,0.24686,1.39104,1.94146,1.53187,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
11,4286.62,0.90871,1.16247,1.1704,0.53602,0.40683,0.42261,0.25978,1.37357,1.84712,1.51294,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
12,4655.61,0.89589,1.12873,1.1621,0.52326,0.39093,0.39434,0.24178,1.4014,1.93327,1.53281,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857
13,5024.73,0.88532,1.10156,1.15605,0.5823,0.38364,0.41827,0.25704,1.3791,1.90664,1.51636,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571
14,5392.47,0.88182,1.08341,1.15023,0.5896,0.40321,0.4434,0.27399,1.35435,1.7678,1.48499,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286
15,5771.13,0.86093,1.05312,1.14312,0.55024,0.40385,0.41685,0.26105,1.35548,1.85476,1.4903,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
16,6149.01,0.85911,1.03384,1.1401,0.53247,0.42636,0.42593,0.26311,1.34727,1.85609,1.495,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
17,6526.72,0.85633,1.01522,1.13409,0.55839,0.42278,0.43863,0.27763,1.32867,1.82786,1.47381,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429
18,6907.86,0.84071,0.98776,1.12727,0.56906,0.43642,0.45883,0.29323,1.31572,1.72933,1.46323,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143
19,7283.38,0.83841,0.97271,1.12435,0.59749,0.43921,0.46769,0.29272,1.30549,1.69931,1.44649,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857
20,7653.43,0.83151,0.95321,1.11928,0.60292,0.43593,0.46771,0.29557,1.30433,1.72447,1.45218,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571
21,8025,0.8264,0.93541,1.11872,0.61407,0.43774,0.47642,0.30532,1.29338,1.73615,1.43979,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286
22,8398.99,0.81251,0.92288,1.10907,0.62056,0.44897,0.48264,0.31362,1.27689,1.69334,1.4111,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
23,8771.36,0.81144,0.90772,1.10693,0.63379,0.42925,0.47695,0.30818,1.28016,1.73619,1.41805,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714
24,9142.97,0.80397,0.89529,1.10696,0.63147,0.45689,0.49315,0.31863,1.29562,1.67667,1.42431,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429
25,9513.95,0.80113,0.87792,1.10111,0.62674,0.45003,0.48974,0.31635,1.28454,1.68407,1.41797,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143
26,9869.65,0.81206,0.81433,1.10004,0.6238,0.44132,0.47978,0.30974,1.28083,1.7612,1.42542,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857
27,10221.7,0.7969,0.7778,1.0911,0.63126,0.4249,0.47373,0.30579,1.29129,1.78186,1.433,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571
28,10573.9,0.79034,0.75361,1.08356,0.66359,0.42038,0.47675,0.3106,1.28485,1.78962,1.42153,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286
29,10924.5,0.78321,0.73652,1.07838,0.63054,0.44174,0.4717,0.30809,1.28601,1.81137,1.42644,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
30,11278.6,0.77309,0.70932,1.07103,0.6216,0.43604,0.47066,0.30887,1.28497,1.81849,1.4271,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714
31,11631.2,0.76729,0.69841,1.06751,0.6052,0.44763,0.46807,0.30512,1.28189,1.82542,1.42968,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429
32,11983.9,0.75375,0.68318,1.06065,0.64128,0.42715,0.46976,0.3083,1.27809,1.81634,1.42336,0.00369429,0.00123143,0.00369429,0.00123143,0.00369429,0.00123143,0.00369429,0.00123143
33,12335.4,0.74897,0.66947,1.05735,0.64943,0.41987,0.47033,0.30717,1.2845,1.82571,1.42669,0.00284571,0.000948571,0.00284571,0.000948571,0.00284571,0.000948571,0.00284571,0.000948571
34,12686.4,0.74255,0.65368,1.05158,0.6406,0.42353,0.47004,0.30742,1.28529,1.82519,1.42728,0.00199714,0.000665714,0.00199714,0.000665714,0.00199714,0.000665714,0.00199714,0.000665714
35,13036.7,0.73253,0.64011,1.04752,0.64915,0.42725,0.4686,0.30611,1.28454,1.84416,1.42681,0.00114857,0.000382857,0.00114857,0.000382857,0.00114857,0.000382857,0.00114857,0.000382857
